sigma12,sigma21,scenario
1.0502710863214464,0.946441638560653,Neutral
1.027607703875425,0.9393375677034522,Neutral
1.0246421530969023,0.9443983516206533,Neutral
1.0006273155720429,1.0476041982305457,Neutral
0.9675136703774914,1.0277122426958187,Neutral
0.9751299629863153,1.025217465335543,Neutral
0.9412703417566317,1.058570151938254,Neutral
1.0188978854872812,1.0197306943589723,Neutral
1.064290094554201,0.9872311431368576,Neutral
1.0276181193220977,0.9649310901458031,Neutral
1.0601901747524733,0.9998582462894872,Neutral
1.0775123197981722,0.9475012528644233,Neutral
1.018334503152068,0.9221616221209039,Neutral
1.0468226596568926,0.9528924193847983,Neutral
1.0447389566777163,0.9562384162923834,Neutral
1.065644947896749,0.9657232668291047,Neutral
1.0865820447902927,0.9362893449182839,Neutral
0.9648091185518685,1.0270349028981332,Neutral
1.0049435649861256,0.9810896279743725,Neutral
1.0726235499130032,0.9429523996413643,Neutral
1.0366239694356034,0.9726602828614573,Neutral
1.0591109347321226,0.9511411832440668,Neutral
1.0343010975252143,0.9349626944408235,Neutral
1.0376547061893535,0.9600895937097575,Neutral
1.0213283178150154,0.9446375958232439,Neutral
1.0624711023354276,0.9085567941287507,Neutral
1.1460367424685867,0.9248173388960876,Neutral
1.1393462128700846,0.8937712643656354,Neutral
1.135906067963212,0.891787348634313,Neutral
1.1617310846914501,0.8756530056852126,Neutral
1.163838417510673,0.8685312095459196,Neutral
1.1588253755831859,0.8694263483796986,Neutral
0.9344170256149644,1.0277734188872587,Neutral
1.0754816302873815,0.9985597349106574,Neutral
1.0559223927573878,0.9870384781598494,Neutral
1.0825932322820462,0.8787867578210102,Neutral
1.0702764675868732,0.8749313880510824,Neutral
1.0821421691644695,0.8921128279909496,Neutral
1.1355126485155889,0.949151836451291,Neutral
1.104969846646708,0.9751965116124872,Neutral
1.1002976461170928,0.8997680685234486,Neutral
